               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.031314,            0.034827,                   0,             0.91695,             0.93631,             0.96623,             0.60982,            0.034008,            0.035301,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.032436,            0.034412,                   0,              0.9136,             0.92994,               0.967,             0.68529,            0.022987,            0.033287,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.031411,            0.034462,                   0,             0.90552,             0.93631,             0.96673,             0.61992,            0.033408,            0.034164,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.031892,            0.033425,                   0,             0.90756,             0.93801,             0.97249,              0.6248,            0.030283,            0.034332,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.030502,            0.033792,                   0,              0.8737,             0.99363,             0.97918,             0.65659,            0.030756,            0.034065,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.031687,            0.030965,                   0,             0.91696,              0.9143,             0.97409,             0.71035,            0.022076,            0.032593,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.030951,             0.03268,                   0,              0.9131,             0.93695,             0.97549,             0.63655,            0.029879,            0.034775,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.030021,            0.034164,                   0,             0.89683,             0.93631,             0.97706,             0.63913,             0.02946,            0.034027,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.030571,            0.032667,                   0,             0.92329,             0.97452,             0.97318,             0.65382,            0.028788,            0.034447,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.029587,            0.032702,                   0,             0.87198,             0.94268,             0.96629,             0.70652,            0.023441,            0.035583,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.029172,            0.033431,                   0,             0.89215,              0.9172,             0.96624,             0.68341,            0.027542,            0.035286,                   0,            0.008416,            0.008416,            0.008416
                  50,             0.02773,            0.033722,                   0,             0.89149,             0.94904,                0.98,             0.66508,            0.025226,            0.032593,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.029375,            0.032524,                   0,             0.90903,             0.95473,             0.97105,             0.62842,            0.028465,            0.033684,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.029542,            0.032413,                   0,             0.93913,             0.89172,             0.96342,             0.69172,            0.023712,            0.033386,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.030245,             0.03104,                   0,             0.86963,             0.97719,             0.96233,              0.5895,            0.033324,            0.034027,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.028315,            0.033109,                   0,             0.88092,             0.96178,             0.97461,             0.69245,            0.026206,            0.033867,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.029269,            0.034341,                   0,             0.89289,             0.95572,             0.97776,             0.74404,            0.021819,            0.031677,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.028379,            0.030389,                   0,             0.92248,             0.93631,             0.98235,             0.65939,            0.027394,            0.032806,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.029038,            0.030813,                   0,             0.93635,             0.92357,             0.97929,             0.68633,            0.025733,            0.033394,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.028199,            0.030296,                   0,             0.91512,             0.89172,             0.96497,             0.69781,            0.022331,            0.036072,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.029187,             0.03279,                   0,             0.91443,             0.89809,             0.96625,              0.7267,            0.020679,            0.034489,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.028773,            0.030424,                   0,             0.93387,             0.89941,             0.96637,             0.66108,            0.026584,              0.0355,                   0,            0.008053,            0.008053,            0.008053
                  61,             0.02707,            0.030899,                   0,             0.93433,             0.88535,             0.96138,              0.6852,            0.024328,            0.035858,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.025474,            0.029624,                   0,             0.95296,             0.87898,             0.97024,             0.69307,            0.022156,            0.034637,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.026326,            0.030884,                   0,             0.95273,             0.89866,             0.97436,             0.70802,            0.023208,            0.034851,                   0,            0.007954,            0.007954,            0.007954
                  64,              0.0274,            0.032745,                   0,             0.94569,             0.88726,             0.96997,              0.6748,            0.024693,            0.036079,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.026417,            0.030382,                   0,             0.93517,             0.91882,             0.97254,             0.69772,            0.024681,            0.033276,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.023949,            0.031657,                   0,             0.91129,             0.93631,             0.97228,             0.69781,            0.022879,            0.033333,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.024436,            0.030568,                   0,             0.94436,             0.88535,             0.97304,              0.7167,             0.02345,            0.033112,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.027345,            0.030694,                   0,             0.92502,             0.90446,             0.97453,             0.65591,            0.026612,            0.034386,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.027529,            0.031971,                   0,             0.89332,             0.96005,             0.97657,             0.73732,            0.022261,            0.032795,                   0,            0.007756,            0.007756,            0.007756
